Date,Actual,Predicted,all_dates,dates,real_dates
1999-10-25,401.012,394.779,1999-10-25,1999-10-25,2005-07-26
1999-10-26,401.050,392.196,1999-10-26,1999-10-26,2005-08-03
1999-10-27,401.083,393.440,1999-10-27,1999-10-27,2005-09-04
1999-10-28,401.111,394.196,1999-10-28,1999-10-28,2005-09-12
1999-10-29,401.134,392.415,1999-10-29,1999-10-29,2005-10-22
1999-10-30,401.152,393.009,1999-10-30,1999-10-30,2005-11-22
1999-10-31,401.164,393.753,1999-10-31,1999-10-31,2005-11-30
1999-11-01,401.170,392.056,1999-11-01,1999-11-01,2006-02-10
1999-11-02,401.170,391.308,1999-11-02,1999-11-02,2006-04-15
1999-11-03,401.165,391.494,1999-11-03,1999-11-03,2006-04-16
1999-11-04,401.153,390.981,1999-11-04,1999-11-04,2006-06-02
1999-11-05,401.135,391.180,1999-11-05,1999-11-05,2006-06-19
1999-11-06,401.110,390.868,1999-11-06,1999-11-06,2006-06-26
1999-11-07,401.080,392.120,1999-11-07,1999-11-07,2006-07-04
1999-11-08,401.042,390.628,1999-11-08,1999-11-08,2006-07-21
1999-11-09,400.999,391.636,1999-11-09,1999-11-09,2006-07-28
1999-11-10,400.949,390.487,1999-11-10,1999-11-10,2006-09-07
1999-11-11,400.892,390.794,1999-11-11,1999-11-11,2006-10-16
1999-11-12,400.830,390.566,1999-11-12,1999-11-12,2007-03-02
1999-11-13,400.760,390.938,1999-11-13,1999-11-13,2007-04-19
1999-11-14,400.684,390.174,1999-11-14,1999-11-14,2007-05-05
1999-11-15,400.602,390.580,1999-11-15,1999-11-15,2007-05-21
1999-11-16,400.514,389.686,1999-11-16,1999-11-16,2007-06-06
1999-11-17,400.419,390.585,1999-11-17,1999-11-17,2007-09-25
1999-11-18,400.318,389.768,1999-11-18,1999-11-18,2008-01-23
1999-11-19,400.212,390.023,1999-11-19,1999-11-19,2008-02-16
1999-11-20,400.099,391.452,1999-11-20,1999-11-20,2008-02-24
1999-11-21,399.980,391.187,1999-11-21,1999-11-21,2008-05-07
1999-11-22,399.855,391.406,1999-11-22,1999-11-22,2008-06-24
1999-11-23,399.725,392.253,1999-11-23,1999-11-23,2008-10-29
1999-11-24,399.590,392.770,1999-11-24,1999-11-24,2009-01-17
1999-11-25,399.449,394.863,1999-11-25,1999-11-25,2009-03-14
1999-11-26,399.303,391.973,1999-11-26,1999-11-26,2009-03-23
1999-11-27,399.153,396.603,1999-11-27,1999-11-27,2009-05-17
1999-11-28,398.997,393.811,1999-11-28,1999-11-28,2009-06-02
1999-11-29,398.838,396.678,1999-11-29,1999-11-29,2009-09-06
1999-11-30,398.674,393.463,1999-11-30,1999-11-30,2009-09-15
1999-12-01,398.506,397.501,1999-12-01,1999-12-01,2010-01-29
1999-12-02,398.335,396.982,1999-12-02,1999-12-02,2010-05-04
1999-12-03,398.160,393.841,1999-12-03,1999-12-03,2010-05-13
1999-12-04,397.982,396.448,1999-12-04,1999-12-04,2010-06-30
1999-12-05,397.802,392.114,1999-12-05,1999-12-05,2010-07-23
1999-12-06,397.619,391.848,1999-12-06,1999-12-06,2010-11-05
1999-12-07,397.434,392.262,1999-12-07,1999-12-07,2010-11-28
1999-12-08,397.246,391.640,1999-12-08,1999-12-08,2010-12-22
1999-12-09,397.058,391.171,1999-12-09,1999-12-09,2011-03-29
1999-12-10,396.868,396.449,1999-12-10,1999-12-10,2011-04-13
1999-12-11,396.677,396.418,1999-12-11,1999-12-11,2011-05-23
1999-12-12,396.486,394.557,1999-12-12,1999-12-12,2011-08-20
1999-12-13,396.294,396.377,1999-12-13,1999-12-13,2011-09-04
1999-12-14,396.102,396.039,1999-12-14,1999-12-14,2011-09-05
1999-12-15,395.911,394.943,1999-12-15,1999-12-15,2012-03-22
1999-12-16,395.720,395.787,1999-12-16,1999-12-16,2012-04-07
1999-12-17,395.530,394.312,1999-12-17,1999-12-17,2012-05-02
1999-12-18,395.341,392.877,1999-12-18,1999-12-18,2012-07-05
1999-12-19,395.153,390.993,1999-12-19,1999-12-19,2012-08-22
1999-12-20,394.968,391.954,1999-12-20,1999-12-20,2013-01-04
1999-12-21,394.784,388.191,1999-12-21,1999-12-21,2013-02-05
1999-12-22,394.602,387.874,1999-12-22,1999-12-22,2013-03-09
1999-12-23,394.422,386.311,1999-12-23,1999-12-23,2013-03-25
1999-12-24,394.245,389.136,1999-12-24,1999-12-24,2013-04-10
1999-12-25,394.071,387.532,1999-12-25,1999-12-25,2013-04-19
1999-12-26,393.900,391.174,1999-12-26,1999-12-26,2013-05-12
1999-12-27,393.732,387.899,1999-12-27,1999-12-27,2013-05-20
1999-12-28,393.568,393.630,1999-12-28,1999-12-28,2013-06-05
1999-12-29,393.406,388.038,1999-12-29,1999-12-29,2013-07-08
1999-12-30,393.249,393.059,1999-12-30,1999-12-30,2013-09-01
1999-12-31,393.095,389.879,1999-12-31,1999-12-31,2013-09-02
2000-01-01,392.945,393.216,2000-01-01,2000-01-01,2013-09-17
2000-01-02,392.799,392.428,2000-01-02,2000-01-02,2013-11-12
2000-01-03,392.657,393.487,2000-01-03,2000-01-03,2013-11-21
2000-01-04,392.519,392.058,2000-01-04,2000-01-04,2013-12-14
2000-01-05,392.385,391.837,2000-01-05,2000-01-05,2013-12-15
2000-01-06,392.256,390.387,2000-01-06,2000-01-06,2013-12-22
2000-01-07,392.131,393.852,2000-01-07,2000-01-07,2013-12-30
2000-01-08,392.010,392.174,2000-01-08,2000-01-08,2014-01-31
2000-01-09,391.894,394.283,2000-01-09,2000-01-09,2014-02-01
2000-01-10,391.782,392.259,2000-01-10,2000-01-10,2014-03-04
2000-01-11,391.674,392.409,2000-01-11,2000-01-11,2014-03-05
2000-01-12,391.571,391.853,2000-01-12,2000-01-12,2014-03-20
2000-01-13,391.472,392.080,2000-01-13,2000-01-13,2014-03-21
2000-01-14,391.377,392.273,2000-01-14,2000-01-14,2014-04-21
2000-01-15,391.287,394.554,2000-01-15,2000-01-15,2014-04-30
2000-01-16,391.201,394.192,2000-01-16,2000-01-16,2014-05-07
2000-01-17,391.120,394.120,2000-01-17,2000-01-17,2014-05-31
2000-01-18,391.043,393.162,2000-01-18,2000-01-18,2014-06-16
2000-01-19,390.970,393.954,2000-01-19,2000-01-19,2014-07-02
2000-01-20,390.901,393.873,2000-01-20,2000-01-20,2014-07-03
2000-01-21,390.836,394.176,2000-01-21,2000-01-21,2014-07-27
2000-01-22,390.775,391.579,2000-01-22,2000-01-22,2014-08-03
2000-01-23,390.718,394.080,2000-01-23,2000-01-23,2014-08-20
2000-01-24,390.666,392.109,2000-01-24,2000-01-24,2014-09-29
2000-01-25,390.617,393.475,2000-01-25,2000-01-25,2014-10-06
2000-01-26,390.571,391.494,2000-01-26,2000-01-26,2014-12-01
2000-01-27,390.530,393.001,2000-01-27,2000-01-27,2014-12-26
2000-01-28,390.492,391.086,2000-01-28,2000-01-28,2015-01-10
2000-01-29,390.457,391.735,2000-01-29,2000-01-29,2015-01-19
2000-01-30,390.426,390.757,2000-01-30,2000-01-30,2015-01-27
2000-01-31,390.398,391.487,2000-01-31,2000-01-31,2015-02-12
2000-02-01,390.374,390.298,2000-02-01,2000-02-01,2015-02-28
2000-02-02,390.352,394.103,2000-02-02,2000-02-02,2015-04-24
2000-02-03,390.334,390.699,2000-02-03,2000-02-03,2015-05-03
2000-02-04,390.319,392.010,2000-02-04,2000-02-04,2015-05-27
2000-02-05,390.306,390.740,2000-02-05,2000-02-05,2015-06-28
2000-02-06,390.297,388.941,2000-02-06,2000-02-06,2015-07-21
2000-02-07,390.290,387.501,2000-02-07,2000-02-07,2015-07-29
2000-02-08,390.285,389.394,2000-02-08,2000-02-08,2015-08-15
2000-02-09,390.284,389.112,2000-02-09,2000-02-09,2015-08-23
2000-02-10,390.284,389.277,2000-02-10,2000-02-10,2015-09-16
2000-02-11,390.287,389.912,2000-02-11,2000-02-11,2015-12-05
2000-02-12,390.292,390.670,2000-02-12,2000-02-12,2015-12-21
2000-02-13,390.300,389.757,2000-02-13,2000-02-13,2016-01-22
2000-02-14,390.309,390.271,2000-02-14,2000-02-14,2016-03-02
2000-02-15,390.321,387.878,2000-02-15,2000-02-15,2016-03-09
2000-02-16,390.334,390.631,2000-02-16,2000-02-16,2016-04-02
2000-02-17,390.349,388.795,2000-02-17,2000-02-17,2016-05-12
2000-02-18,390.366,388.347,2000-02-18,2000-02-18,2016-05-13
2000-02-19,390.385,389.353,2000-02-19,2000-02-19,2016-06-30
2000-02-20,390.405,389.389,2000-02-20,2000-02-20,2016-08-16
2000-02-21,390.427,388.681,2000-02-21,2000-02-21,2016-08-17
2000-02-22,390.450,387.412,2000-02-22,2000-02-22,2016-09-09
2000-02-23,390.474,388.598,2000-02-23,2000-02-23,2016-09-10
2000-02-24,390.500,387.303,2000-02-24,2000-02-24,2016-10-12
2000-02-25,390.527,388.941,2000-02-25,2000-02-25,2016-10-28
2000-02-26,390.554,388.504,2000-02-26,2000-02-26,2016-12-15
2000-02-27,390.583,388.262,2000-02-27,2000-02-27,2017-01-15
2000-02-28,390.613,387.736,2000-02-28,2000-02-28,2017-03-05
2000-02-29,390.644,388.349,2000-02-29,2000-02-29,2017-04-30
2000-03-01,390.676,386.952,2000-03-01,2000-03-01,2017-05-23
2000-03-02,390.708,389.569,2000-03-02,2000-03-02,2017-05-24
2000-03-03,390.741,386.995,2000-03-03,2000-03-03,2017-06-08
2000-03-04,390.775,389.735,2000-03-04,2000-03-04,2017-06-16
2000-03-05,390.809,387.858,2000-03-05,2000-03-05,2017-07-03
2000-03-06,390.844,390.278,2000-03-06,2000-03-06,2017-07-10
2000-03-07,390.879,387.660,2000-03-07,2000-03-07,2017-08-03
2000-03-08,390.915,387.826,2000-03-08,2000-03-08,2017-08-20
2000-03-09,390.951,389.583,2000-03-09,2000-03-09,2017-08-28
2000-03-10,390.987,390.988,2000-03-10,2000-03-10,2017-10-07
2000-03-11,391.024,392.003,2000-03-11,2000-03-11,2017-10-14
2000-03-12,391.060,389.927,2000-03-12,2000-03-12,2017-12-10
2000-03-13,391.097,392.216,2000-03-13,2000-03-13,2017-12-18
2000-03-14,391.134,390.435,2000-03-14,2000-03-14,2018-02-04
2000-03-15,391.171,391.002,2000-03-15,2000-03-15,2018-03-08
2000-03-16,391.208,393.130,2000-03-16,2000-03-16,2018-03-24
2000-03-17,391.245,388.939,2000-03-17,2000-03-17,2018-05-02
2000-03-18,391.282,393.050,2000-03-18,2000-03-18,2018-05-03
2000-03-19,391.318,388.910,2000-03-19,2000-03-19,2018-05-18
2000-03-20,391.355,393.463,2000-03-20,2000-03-20,2018-05-19
2000-03-21,391.391,391.544,2000-03-21,2000-03-21,2018-06-28
2000-03-22,391.427,393.521,2000-03-22,2000-03-22,2018-07-05
2000-03-23,391.463,390.735,2000-03-23,2000-03-23,2018-07-22
2000-03-24,391.498,395.610,2000-03-24,2000-03-24,2018-08-15
2000-03-25,391.533,392.161,2000-03-25,2000-03-25,2018-08-22
2000-03-26,391.568,394.682,2000-03-26,2000-03-26,2018-09-07
2000-03-27,391.602,390.754,2000-03-27,2000-03-27,2018-09-16
2000-03-28,391.636,394.442,2000-03-28,2000-03-28,2018-10-18
2000-03-29,391.669,390.055,2000-03-29,2000-03-29,2018-10-25
2000-03-30,391.701,393.414,2000-03-30,2000-03-30,2018-12-04
2000-03-31,391.733,393.306,2000-03-31,2000-03-31,2018-12-29
2000-04-01,391.765,392.543,2000-04-01,2000-04-01,2019-02-14
2000-04-02,391.796,390.904,2000-04-02,2000-04-02,2019-02-15
2000-04-03,391.826,392.569,2000-04-03,2000-04-03,2019-02-23
2000-04-04,391.856,388.796,2000-04-04,2000-04-04,2019-03-02
2000-04-05,391.885,388.947,2000-04-05,2000-04-05,2019-04-12
2000-04-06,391.913,387.715,2000-04-06,2000-04-06,2019-04-19
2000-04-07,391.941,387.606,2000-04-07,2000-04-07,2019-04-20
2000-04-08,391.967,387.001,2000-04-08,2000-04-08,2019-05-29
2000-04-09,391.993,388.471,2000-04-09,2000-04-09,2019-06-07
2000-04-10,392.019,386.984,2000-04-10,2000-04-10,2019-06-15
2000-04-11,392.043,390.539,2000-04-11,2000-04-11,2019-06-22
2000-04-12,392.067,387.459,2000-04-12,2000-04-12,2019-08-09
2000-04-13,392.089,392.391,2000-04-13,2000-04-13,2019-08-18
2000-04-14,392.111,390.070,2000-04-14,2000-04-14,2019-09-11
2000-04-15,392.132,390.973,2000-04-15,2000-04-15,2019-10-21
2000-04-16,392.153,386.610,2000-04-16,2000-04-16,2019-11-06
2000-04-17,392.172,389.024,2000-04-17,2000-04-17,2019-11-14
2000-04-18,392.190,388.645,2000-04-18,2000-04-18,2020-01-17
2000-04-19,392.208,389.163,2000-04-19,2000-04-19,2020-01-24
2000-04-20,392.225,388.855,2000-04-20,2000-04-20,2020-01-25
2000-04-21,392.240,390.663,2000-04-21,2000-04-21,2020-02-02
2000-04-22,392.255,389.736,2000-04-22,2000-04-22,2020-03-05
2000-04-23,392.269,391.419,2000-04-23,2000-04-23,2020-03-12
2000-04-24,392.282,389.950,2000-04-24,2000-04-24,2020-03-13
2000-04-25,392.295,393.199,2000-04-25,2000-04-25,2020-04-06
2000-04-26,392.306,391.911,2000-04-26,2000-04-26,2020-05-07
2000-04-27,392.316,394.853,2000-04-27,2000-04-27,2020-05-15
2000-04-28,392.326,392.227,2000-04-28,2000-04-28,2020-05-16
2000-04-29,392.334,395.377,2000-04-29,2000-04-29,2020-06-16
2000-04-30,392.342,390.361,2000-04-30,2000-04-30,2020-06-24
2000-05-01,392.349,393.316,2000-05-01,2000-05-01,2020-08-03
2000-05-02,392.355,390.228,2000-05-02,2000-05-02,2020-08-20
2000-05-03,392.360,392.200,2000-05-03,2000-05-03,2020-09-21
2000-05-04,392.365,390.549,2000-05-04,2000-05-04,2020-11-15
2000-05-05,392.369,391.671,2000-05-05,2000-05-05,2020-12-01
2000-05-06,392.372,386.024,2000-05-06,2000-05-06,2021-01-18
2000-05-07,392.374,389.521,2000-05-07,2000-05-07,2021-02-03
2000-05-08,392.376,383.673,2000-05-08,2000-05-08,2021-02-12
2000-05-09,392.377,382.530,2000-05-09,2000-05-09,2021-03-23
2000-05-10,392.377,382.832,2000-05-10,2000-05-10,2021-04-01
2000-05-11,392.377,382.019,2000-05-11,2000-05-11,2021-04-17
2000-05-12,392.377,381.967,2000-05-12,2000-05-12,2021-04-24
2000-05-13,392.376,382.431,2000-05-13,2000-05-13,2021-05-18
2000-05-14,392.374,382.609,2000-05-14,2000-05-14,2021-05-26
2000-05-15,392.373,381.605,2000-05-15,2000-05-15,2021-06-03
2000-05-16,392.371,382.857,2000-05-16,2000-05-16,2021-06-11
2000-05-17,392.369,381.211,2000-05-17,2000-05-17,2021-07-13
2000-05-18,392.366,382.692,2000-05-18,2000-05-18,2021-07-21
2000-05-19,392.364,381.421,2000-05-19,2000-05-19,2021-07-29
2000-05-20,392.361,382.644,2000-05-20,2000-05-20,2021-08-22
2000-05-21,392.359,381.022,2000-05-21,2000-05-21,2021-09-08
2000-05-22,392.357,382.582,2000-05-22,2000-05-22,2021-09-24
2000-05-23,392.355,381.555,2000-05-23,2000-05-23,2021-11-10
2000-05-24,392.354,381.942,2000-05-24,2000-05-24,2021-11-18
2000-05-25,392.353,381.516,2000-05-25,2000-05-25,2022-02-14
2000-05-26,392.353,381.784,2000-05-26,2000-05-26,2022-02-22
2000-05-27,392.353,381.735,2000-05-27,2000-05-27,2022-03-02
2000-05-28,392.354,381.881,2000-05-28,2000-05-28,2022-03-18
2000-05-29,392.356,381.003,2000-05-29,2000-05-29,2022-03-27
